City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Te Anau,-45.42,167.72,36.55,90,64,1.68,NZ,1592659712
Gwadar,25.12,62.33,87.21,76,0,17.36,PK,1592659712
Atuona,-9.8,-139.03,79.74,74,93,13.13,PF,1592659712
Lethem,3.38,-59.8,80.29,79,45,10.69,GY,1592659712
Ocós,14.51,-92.19,78.8,94,20,6.4,GT,1592659713
Cabo San Lucas,22.89,-109.91,84.2,32,5,10.29,MX,1592659713
Esperance,-33.87,121.9,46.4,81,0,8.05,AU,1592659490
Abadan,38.05,58.21,100.4,10,40,25.28,TM,1592659713
Puerto Ayora,-0.74,-90.35,69.01,96,100,1.99,EC,1592659713
Hermanus,-34.42,19.23,64.99,79,0,4.0,ZA,1592659713
Qrendi,35.83,14.46,86.0,37,0,14.99,MT,1592659713
Tasiilaq,65.61,-37.64,48.2,57,75,26.4,GL,1592659713
Ambilobe,-13.2,49.05,79.0,79,97,5.7,MG,1592659714
Muswellbrook,-32.27,150.9,52.09,77,43,2.98,AU,1592659714
Mount Gambier,-37.83,140.77,44.6,93,75,3.36,AU,1592659714
Leningradskiy,69.38,178.42,40.42,72,92,6.76,RU,1592659714
Benguela,-12.58,13.41,80.6,74,20,6.93,AO,1592659714
Yangi Marg`ilon,40.43,71.72,91.4,10,0,4.7,UZ,1592659714
Constitución,-35.33,-72.42,54.57,86,100,14.36,CL,1592659715
Barra de Tecoanapa,16.52,-98.75,79.95,77,72,4.07,MX,1592659715
Ribeira Grande,38.52,-28.7,69.8,83,20,16.11,PT,1592659715
Iskateley,67.68,53.15,41.23,85,100,26.91,RU,1592659715
Wamba,8.93,8.6,85.05,63,82,1.43,NG,1592659715
Martinez,38.02,-122.13,57.99,82,1,8.05,US,1592659715
Mount Isa,-20.73,139.5,59.0,54,0,9.19,AU,1592659715
Rikitea,-23.12,-134.97,75.63,82,100,17.92,PF,1592659715
San Cristobal,7.77,-72.22,82.4,58,75,13.87,VE,1592659488
Hobyo,5.35,48.53,84.07,59,4,30.74,SO,1592659716
East London,-33.02,27.91,80.6,18,0,11.41,ZA,1592659716
Biltine,14.53,20.92,106.0,7,0,9.55,TD,1592659716
Trzcianka,53.04,16.46,69.75,77,100,11.48,PL,1592659639
Clarence Town,-32.58,151.78,57.2,76,90,6.93,AU,1592659716
Punta Arenas,-53.15,-70.92,37.4,86,75,8.05,CL,1592659717
Hingoli,19.72,77.15,81.03,60,100,5.95,IN,1592659717
Ziro,27.63,93.83,84.2,89,20,3.36,IN,1592659717
Mar del Plata,-38.0,-57.56,53.01,70,100,4.7,AR,1592659692
Kafue,-15.77,28.18,71.6,33,75,10.29,ZM,1592659717
Balabac,7.99,117.06,83.59,75,29,7.29,PH,1592659443
New Norfolk,-42.78,147.06,46.0,86,100,2.06,AU,1592659717
Atar,20.52,-13.05,109.83,9,0,15.77,MR,1592659718
Daru,-9.08,143.21,77.68,85,65,15.82,PG,1592659718
Meulaboh,4.14,96.13,78.26,89,100,6.73,ID,1592659718
Dolores,-36.31,-57.68,51.17,56,100,2.01,AR,1592659718
Huruta,8.15,39.35,77.65,33,100,10.18,ET,1592659718
Kushima,31.46,131.23,71.6,78,75,3.36,JP,1592659718
Bilma,18.69,12.92,107.22,7,0,6.82,NE,1592659719
Airai,-8.93,125.41,58.14,100,36,4.21,TL,1592659719
Chumikan,54.72,135.31,40.57,96,100,12.57,RU,1592659719
Hithadhoo,-0.6,73.08,84.04,72,93,7.23,MV,1592659719
Bilibino,68.05,166.44,65.35,49,70,2.04,RU,1592659719
Avarua,-21.21,-159.78,69.8,73,66,3.36,CK,1592659719
Hambantota,6.12,81.12,89.6,62,40,14.99,LK,1592659719
Mishelevka,52.86,103.17,64.09,68,5,3.89,RU,1592659719
São Filipe,14.9,-24.5,77.34,73,1,17.18,CV,1592659720
Khatanga,71.97,102.5,70.84,42,6,12.01,RU,1592659720
Barra Patuca,15.8,-84.28,80.98,85,95,9.4,HN,1592659720
Sechura,-5.56,-80.82,65.59,78,45,10.65,PE,1592659720
Sola,-13.88,167.55,82.4,69,40,18.01,VU,1592659720
Aklavik,68.22,-135.01,42.8,100,90,4.7,CA,1592659720
Lavrentiya,65.58,-171.0,44.51,72,0,12.59,RU,1592659721
Dikson,73.51,80.55,37.35,79,15,15.43,RU,1592659721
Soe,-9.86,124.28,65.14,100,45,4.56,ID,1592659721
Peski,55.22,38.76,73.4,83,40,4.47,RU,1592659721
Pisco,-13.7,-76.22,60.8,87,90,5.82,PE,1592659721
Husavik,66.04,-17.34,59.0,72,20,14.99,IS,1592659721
Olinda,-8.01,-34.86,84.2,66,40,17.22,BR,1592659721
Northam,51.03,-4.22,64.99,74,4,4.0,GB,1592659721
Codrington,-38.27,141.97,48.49,89,100,9.57,AU,1592659721
Ushirombo,-3.49,31.96,83.08,32,96,7.34,TZ,1592659722
Adwa,14.16,38.9,80.28,37,26,13.94,ET,1592659722
Inuvik,68.35,-133.72,42.8,100,90,4.7,CA,1592659722
Rosarito,32.33,-117.03,63.0,82,90,5.82,MX,1592659722
Robertsport,6.75,-11.37,77.83,86,36,8.39,LR,1592659722
Launceston,-41.45,147.17,46.0,100,90,3.36,AU,1592659722
Turaif,31.67,38.66,86.0,35,0,9.17,SA,1592659617
Nome,64.5,-165.41,53.6,58,1,8.05,US,1592659723
Takoradze,4.88,-1.76,81.48,75,55,9.22,GH,1592659723
Bandarbeyla,9.49,50.81,93.7,38,98,22.24,SO,1592659723
Turukhansk,65.82,87.98,52.84,56,100,14.14,RU,1592659723
Kavieng,-2.57,150.8,83.37,73,70,6.55,PG,1592659723
Hong Kong,22.29,114.16,86.0,74,99,8.01,HK,1592659671
Hamilton,39.18,-84.53,77.0,73,1,3.8,US,1592659563
Huilong,31.81,121.66,71.01,89,100,5.48,CN,1592659724
Henties Bay,-22.12,14.28,81.0,29,0,14.61,NA,1592659724
Qandala,11.47,49.87,93.29,48,89,1.66,SO,1592659724
Lenoir,35.23,-77.65,71.6,83,40,1.1,US,1592659616
Apatity,67.56,33.4,58.08,39,0,5.68,RU,1592659724
Clonmel,52.35,-7.7,62.01,74,100,4.0,IE,1592659724
Provideniya,64.38,-173.3,51.37,57,1,3.0,RU,1592659725
Hobart,-42.88,147.33,46.99,93,75,3.36,AU,1592659725
Qaanaaq,77.48,-69.36,38.89,73,100,7.83,GL,1592659725
Banda Aceh,5.56,95.32,81.77,79,100,9.24,ID,1592659725
Chabahar,25.29,60.64,87.33,75,12,12.41,IR,1592659725
Noumea,-22.28,166.46,62.6,77,75,3.36,NC,1592659725
‘Āhuimanu,21.44,-157.84,77.0,73,75,10.29,US,1592659725
Sand Springs,36.14,-96.11,73.4,94,40,8.28,US,1592659725
Haines Junction,60.75,-137.51,53.8,58,100,1.36,CA,1592659725
Tuktoyaktuk,69.45,-133.04,39.2,100,90,8.05,CA,1592659726
Castro,-24.79,-50.01,67.55,69,0,6.44,BR,1592659726
Siverek,37.76,39.32,80.6,36,75,14.99,TR,1592659726
Quesnel,53.0,-122.5,59.0,87,90,5.82,CA,1592659726
Kaitangata,-46.28,169.85,44.01,86,98,4.0,NZ,1592659726
Shingū,33.73,135.98,68.13,89,91,3.69,JP,1592659726
Adré,13.47,22.2,99.01,15,0,3.91,TD,1592659727
Galveston,29.37,-94.97,84.2,74,75,11.41,US,1592659727
Ketchikan,55.34,-131.65,53.6,100,90,8.05,US,1592659727
Bonavista,48.65,-53.11,42.08,92,97,12.93,CA,1592659727
Camocim,-2.9,-40.84,82.92,69,6,13.49,BR,1592659727
Amos,48.57,-78.12,78.8,54,20,5.82,CA,1592659727
Katsuura,35.13,140.3,73.0,82,100,1.01,JP,1592659728
Bismarck,46.81,-100.78,64.4,68,1,5.82,US,1592659621
Saint Paul Harbor,57.79,-152.41,50.0,81,90,9.17,US,1592659728
Abaza,52.66,90.09,51.55,92,100,1.01,RU,1592659728
Palmer,42.16,-72.33,77.0,65,20,4.7,US,1592659527
Thompson,55.74,-97.86,42.8,93,90,9.17,CA,1592659495
Beïnamar,8.67,15.38,93.43,48,9,0.07,TD,1592659729
Vestmannaeyjar,63.44,-20.27,50.0,93,90,23.04,IS,1592659729
Opuwo,-18.06,13.84,75.34,21,32,6.91,NA,1592659729
Fryazino,55.96,38.05,80.6,44,75,11.18,RU,1592659729
Ust'-Omchug,61.15,149.63,49.86,77,21,2.21,RU,1592659729
Yellowknife,62.46,-114.35,55.4,50,20,17.22,CA,1592659730
Tiksi,71.69,128.87,65.84,37,0,5.55,RU,1592659730
Praia da Vitória,38.73,-27.07,77.0,57,20,11.3,PT,1592659730
Östersund,63.18,14.64,75.2,41,54,11.41,SE,1592659730
Roebourne,-20.78,117.13,71.91,55,0,3.85,AU,1592659730
Hasaki,35.73,140.83,70.0,83,75,3.36,JP,1592659506
Adrar,20.5,-10.07,106.18,10,0,7.38,MR,1592659730
Port Blair,11.67,92.75,83.62,82,96,11.32,IN,1592659730
Port Lincoln,-34.73,135.87,55.83,72,41,27.78,AU,1592659436
Mawlaik,23.63,94.42,80.56,91,66,0.87,MM,1592659731
São João da Barra,-21.64,-41.05,80.6,61,0,13.87,BR,1592659731
Namtsy,62.72,129.67,69.8,60,0,4.47,RU,1592659731
Vardø,70.37,31.11,55.4,47,0,5.82,NO,1592659731
Beni,0.5,29.47,79.32,61,26,2.26,CD,1592659731
Ponta do Sol,32.67,-17.1,73.4,64,20,14.99,PT,1592659481
Potosí,-19.58,-65.75,48.63,35,0,2.3,BO,1592659732
Pevek,69.7,170.31,45.07,60,9,6.85,RU,1592659732
Manggar,-2.88,108.27,81.81,84,44,14.12,ID,1592659732
Vila Velha,-20.33,-40.29,79.0,69,0,12.75,BR,1592659732
Geraldton,-28.77,114.6,53.6,81,0,5.82,AU,1592659732
Suleja,9.18,7.18,86.0,70,40,5.82,NG,1592659732
Cockburn Town,21.46,-71.14,82.29,78,97,15.66,TC,1592659733
Turbat,26.0,63.04,102.54,36,0,19.98,PK,1592659733
Namie,37.48,141.0,64.99,68,0,4.79,JP,1592659733
Severo-Kuril'sk,50.68,156.12,41.92,92,100,17.09,RU,1592659487
Camacha,33.08,-16.33,73.4,64,40,12.75,PT,1592659733
San Patricio,19.22,-104.7,73.4,83,75,6.93,MX,1592659733
Lebu,-37.62,-73.65,52.83,87,100,20.42,CL,1592659733
Bourail,-21.57,165.48,64.69,83,12,8.25,NC,1592659733
Clyde River,70.47,-68.59,33.8,66,20,11.41,CA,1592659733
Graciano Sánchez,23.92,-99.28,77.0,88,20,9.17,MX,1592659734
Nanortalik,60.14,-45.24,39.76,81,100,12.93,GL,1592659734
Lata,40.16,-8.33,81.0,45,0,9.86,PT,1592659620
Lárdos,36.09,28.02,84.2,45,20,18.34,GR,1592659734
Berlevåg,70.86,29.09,46.38,72,0,9.04,NO,1592659734
Luján,-34.57,-59.1,52.0,98,100,1.99,AR,1592659734
Bengkulu,-3.8,102.27,79.2,83,77,3.04,ID,1592659734
Korla,41.76,86.15,86.09,13,0,14.65,CN,1592659735
Beaverlodge,55.22,-119.44,57.2,93,40,3.13,CA,1592659735
São Gabriel,-30.34,-54.32,68.05,95,100,5.37,BR,1592659735
Grenfell,-33.9,148.17,54.0,95,100,1.99,AU,1592659735
Peniche,39.36,-9.38,75.99,67,0,10.0,PT,1592659735
Brae,60.4,-1.35,59.0,87,75,12.75,GB,1592659735
Linxia Chengguanzhen,35.6,103.21,71.15,52,100,4.99,CN,1592659735
Toora-Khem,52.47,96.11,64.65,49,0,0.16,RU,1592659735
Hofn,64.25,-15.21,50.0,93,90,4.7,IS,1592659735
Chon Daen,16.19,100.86,81.21,83,99,1.63,TH,1592659736
Vestmanna,62.16,-7.17,55.4,87,59,10.29,FO,1592659736
Butaritari,3.07,172.79,83.28,68,70,6.73,KI,1592659736
Cherskiy,68.75,161.3,71.26,36,0,5.06,RU,1592659736
Staryy Nadym,65.61,72.68,59.31,39,59,11.41,RU,1592659736
Gorlice,49.66,21.16,71.01,89,98,3.6,PL,1592659736
Pierre,44.37,-100.35,62.6,88,75,9.37,US,1592659734
Beringovskiy,63.05,179.32,44.78,59,100,1.54,RU,1592659569
Gornopravdinsk,60.05,69.9,51.71,92,100,11.21,RU,1592659737
Paka,4.64,103.44,80.6,94,100,3.36,MY,1592659737
Redmond,47.67,-122.12,64.0,78,100,3.4,US,1592659549
Rocha,-34.48,-54.33,56.25,84,0,4.16,UY,1592659737
Lüderitz,-26.65,15.16,78.8,22,0,8.05,NA,1592659737
Aykhal,66.0,111.5,66.2,52,40,4.47,RU,1592659737
Romitan,39.93,64.38,98.6,10,0,11.41,UZ,1592659737
Terekli-Mekteb,44.17,45.87,93.22,16,81,20.38,RU,1592659738
Bayshore Gardens,27.43,-82.59,84.99,74,1,3.36,US,1592659738
Upernavik,72.79,-56.15,41.74,72,0,2.62,GL,1592659738
Kumul,42.8,93.45,87.4,16,4,12.5,CN,1592659738
Kailua,21.4,-157.74,77.0,73,75,10.29,US,1592659738
Angoche,-16.23,39.91,76.8,64,99,13.29,MZ,1592659738
Carnarvon,-24.87,113.63,66.2,100,0,9.17,AU,1592659738
Broome,42.25,-75.83,69.01,82,1,5.82,US,1592659738
Ebersbach,51.02,14.58,60.01,84,100,1.99,DE,1592659739
Chui,-33.7,-53.46,56.7,87,0,5.68,UY,1592659739
Itarema,-2.92,-39.92,81.88,73,34,16.24,BR,1592659739
Bang Saphan,11.21,99.51,80.67,81,100,6.22,TH,1592659739
Port Hardy,50.7,-127.42,57.2,100,75,4.12,CA,1592659739
Collie,-33.37,116.15,45.0,63,0,4.38,AU,1592659739
Herat Province,34.5,62.0,102.2,10,0,13.87,AF,1592659739
Arraial do Cabo,-22.97,-42.03,80.6,65,0,5.82,BR,1592659739
Umm Kaddadah,13.6,26.69,99.43,9,46,7.7,SD,1592659740
Salinópolis,-0.61,-47.36,81.73,80,3,9.46,BR,1592659740
Esim,4.87,-2.24,81.95,72,50,9.73,GH,1592659740
Sri Aman,1.24,111.46,78.8,94,100,0.58,MY,1592659740
Safi,32.3,-9.24,73.71,65,0,19.77,MA,1592659522
Larsnes,62.2,5.58,72.0,64,100,5.99,NO,1592659740
Cabo Rojo,18.09,-67.15,86.0,63,0,3.0,PR,1592659740
Kinkala,-4.36,14.76,82.4,61,20,9.17,CG,1592659740
El Copé,8.62,-80.6,75.99,92,67,3.18,PA,1592659741
George Town,5.41,100.34,84.2,79,20,3.36,MY,1592659741
Matamoros,25.53,-103.25,80.6,47,75,4.68,MX,1592659741
Aracati,-4.56,-37.77,83.3,62,30,13.56,BR,1592659741
Vuktyl,63.86,57.31,40.24,94,100,15.48,RU,1592659741
Pak Phanang,8.35,100.2,80.6,94,40,4.7,TH,1592659741
Skjervøy,70.03,20.97,51.8,66,0,5.82,NO,1592659742
Bonthe,7.53,-12.51,81.46,78,56,3.83,SL,1592659742
Lázaro Cárdenas,17.96,-102.2,77.16,71,40,4.47,MX,1592659742
Prainha,-1.8,-53.48,78.58,89,0,4.21,BR,1592659742
Fort Nelson,58.81,-122.7,60.8,82,75,2.13,CA,1592659742
Leshukonskoye,64.9,45.76,47.55,66,100,13.85,RU,1592659742
Voh,-20.97,164.7,64.87,88,4,5.84,NC,1592659743
Yingchuan,34.16,113.46,77.0,69,32,2.24,CN,1592659743
La Ronge,55.1,-105.28,44.6,87,90,6.93,CA,1592659743
Pacific Grove,36.62,-121.92,54.0,93,74,3.4,US,1592659532
Talara,-4.58,-81.27,66.2,82,5,21.92,PE,1592659458
Bairiki Village,1.33,172.98,82.4,78,40,5.82,KI,1592659743
Jennings,38.72,-90.26,79.0,69,1,4.7,US,1592659743
Pangnirtung,66.15,-65.71,43.07,64,2,2.08,CA,1592659744
Hurricane,37.18,-113.29,68.0,17,1,3.36,US,1592659744
Tegul'det,57.31,88.17,56.8,57,100,3.04,RU,1592659744
Egvekinot,66.32,-179.17,49.3,55,0,1.83,RU,1592659744
Avera,33.19,-82.53,73.4,100,1,8.05,US,1592659515
Rundu,-17.93,19.77,62.6,21,0,3.36,NA,1592659744
Belyy Yar,53.6,91.39,57.2,87,75,11.18,RU,1592659744
Northport,33.23,-87.58,75.2,83,1,0.31,US,1592659745
Merano,46.67,11.16,82.4,24,20,9.17,IT,1592659745
Coyhaique,-45.58,-72.07,35.6,100,90,8.05,CL,1592659456
Moerai,-22.43,-151.33,71.06,76,100,15.97,PF,1592659745
Panabá,21.28,-88.27,78.69,89,55,5.64,MX,1592659745
Arrifes,37.77,-25.7,66.2,82,20,16.11,PT,1592659745
Pandamatenga,-18.53,25.63,68.09,37,79,8.9,BW,1592659745
Faanui,-16.48,-151.75,79.41,79,94,5.48,PF,1592659746
Teahupoo,-17.83,-149.27,77.0,88,20,2.24,PF,1592659746
Nampula,-15.12,39.27,78.01,50,40,11.41,MZ,1592659746
Emilio Carranza,19.97,-96.61,78.8,72,0,4.25,MX,1592659746
Karasjok,69.47,25.51,57.2,47,0,4.7,NO,1592659479
Puksoozero,62.59,40.61,53.83,51,97,8.25,RU,1592659746
Mahébourg,-20.41,57.7,73.4,69,40,13.87,MU,1592659746
Baicheng,45.62,122.82,69.76,89,100,4.07,CN,1592659746
Labuan,5.28,115.24,80.6,100,75,3.56,MY,1592659747
Srednekolymsk,67.45,153.68,74.7,32,45,6.62,RU,1592659747
Vakhrushev,48.98,142.97,45.93,87,100,4.85,RU,1592659747
Dauphin,51.15,-100.05,50.0,93,75,5.82,CA,1592659747
Ostrovnoy,68.05,39.51,44.31,74,100,17.96,RU,1592659747
Alyangula,-13.85,136.42,69.8,94,0,12.57,AU,1592659747
Muros,42.78,-9.06,66.99,82,10,8.99,ES,1592659748
Isangel,-19.55,169.27,64.4,93,20,13.71,VU,1592659748
Angoram,-4.06,144.07,75.11,95,80,0.78,PG,1592659748
Dhidhdhoo,6.88,73.1,84.24,76,100,15.05,MV,1592659748
Whitehorse,60.72,-135.05,51.8,93,90,9.17,CA,1592659748
Iba,15.37,120.03,80.6,83,75,4.7,PH,1592659748
Watsa,3.04,29.54,74.23,94,98,3.58,CD,1592659749
Bambous Virieux,-20.34,57.76,73.4,69,40,13.87,MU,1592659543
Alugan,12.22,125.48,82.53,79,0,5.28,PH,1592659749
Bereda,43.27,-7.54,75.0,48,6,10.0,ES,1592659749
Sabinas,27.85,-101.12,77.38,81,79,11.99,MX,1592659749
Ilulissat,69.22,-51.1,42.8,70,5,5.82,GL,1592659533
Caravelas,-17.71,-39.25,78.78,60,74,5.77,BR,1592659750
Fayaoué,-20.65,166.53,71.82,80,2,22.62,NC,1592659750
Lorengau,-2.02,147.27,81.91,74,0,2.66,PG,1592659750
Nouakchott,18.09,-15.98,84.2,66,0,16.11,MR,1592659685
Mossamedes,-15.2,12.15,87.8,45,0,17.22,AO,1592659750
Pangai,-19.8,-174.35,77.0,69,20,14.99,TO,1592659493
Agapovka,53.3,59.13,78.8,26,0,17.9,RU,1592659751
New Waterford,40.85,-80.61,68.0,96,0,1.5,US,1592659751
Tabou,4.42,-7.35,80.38,75,73,8.39,CI,1592659751
Mugumu,-1.85,34.7,78.13,50,48,2.04,TZ,1592659751
Nishihara,26.18,127.76,84.2,88,75,17.22,JP,1592659752
Cayenne,4.93,-52.33,82.4,83,75,1.12,GF,1592659752
Mingora,34.78,72.36,92.48,23,3,4.97,PK,1592659752
Sinnamary,5.38,-52.95,80.65,85,68,8.68,GF,1592659752
Udachny,66.42,112.4,66.2,52,40,4.47,RU,1592659752
Bom Jesus,-9.07,-44.36,82.2,52,0,8.5,BR,1592659753
Ahipara,-35.17,173.17,54.97,88,100,7.36,NZ,1592659753
Jalu,29.03,21.55,109.45,7,0,5.19,LY,1592659753
Tuatapere,-46.13,167.68,39.0,83,76,3.0,NZ,1592659753
Minot,48.23,-101.3,57.2,76,1,5.82,US,1592659753
Marquette,46.53,-87.63,57.0,99,100,4.0,US,1592659754
Ban Nahin,18.24,104.21,81.5,77,20,1.39,LA,1592659754
Mmabatho,-25.85,25.63,68.0,24,0,3.36,ZA,1592659754
Voloshka,61.33,40.09,60.4,43,0,9.17,RU,1592659754
Santiago,-33.46,-70.65,48.2,93,90,3.36,CL,1592659630
Ancud,-41.87,-73.82,48.99,100,75,12.75,CL,1592659755
Lompoc,34.64,-120.46,57.2,87,90,1.23,US,1592659755
Marrakesh,31.63,-8.01,87.8,38,0,3.36,MA,1592659755
Danané,7.26,-8.15,86.81,55,41,2.91,CI,1592659755
Rome,43.21,-75.46,75.2,64,20,4.7,US,1592659755
Champerico,14.3,-91.92,73.4,94,40,4.23,GT,1592659755
Xuzhou,34.18,117.16,76.5,71,56,7.45,CN,1592659755
Rapid Valley,44.06,-103.15,60.01,76,1,2.75,US,1592659756
Coquimbo,-29.95,-71.34,57.2,58,0,3.36,CL,1592659756
Port Augusta,-32.5,137.77,50.0,81,3,12.75,AU,1592659756
Klaksvík,62.23,-6.59,55.4,87,63,10.29,FO,1592659756
Requena,39.49,-1.1,89.01,20,0,10.22,ES,1592659756
San Pablo City,14.07,121.33,82.4,83,20,2.24,PH,1592659756
Novorudnyy,51.5,58.19,82.4,17,0,13.42,RU,1592659757
Acaraú,-2.89,-40.12,81.9,74,25,15.57,BR,1592659757
Dunda,-8.12,34.25,84.56,25,92,7.38,TZ,1592659757
Huarmey,-10.07,-78.15,64.27,78,46,5.57,PE,1592659757
Bjørnevatn,69.67,29.98,53.6,46,0,9.17,NO,1592659757
Nizhniy Tsasuchey,50.52,115.13,65.21,54,100,7.9,RU,1592659757
Padilla,3.22,-76.31,69.8,94,75,2.24,CO,1592659757
Giovinazzo,41.19,16.67,75.99,78,20,9.17,IT,1592659757
Belaya Gora,68.53,146.42,75.51,32,0,5.84,RU,1592659758
Saint George,37.1,-113.58,66.99,17,1,3.36,US,1592659681
Mayumba,-3.43,10.66,77.18,80,95,8.37,GA,1592659758
Ustyuzhna,58.84,36.43,67.17,47,98,8.99,RU,1592659758
Yakovlevka,44.42,133.48,56.28,90,86,3.02,RU,1592659758
Halifax,44.65,-63.57,80.6,57,5,10.29,CA,1592659638
Yuli,9.7,10.27,82.38,65,100,5.82,NG,1592659759
Rock Sound,24.9,-76.2,81.16,83,100,8.08,BS,1592659759
Jamkhed,18.74,75.31,81.75,70,100,13.49,IN,1592659759
Meadow Lake,34.8,-106.54,64.4,48,1,5.82,US,1592659759
Nova Olímpia,-14.8,-57.29,80.69,49,0,8.37,BR,1592659759
Wuwei,37.93,102.64,82.99,37,54,4.97,CN,1592659759
Havre-St-Pierre,50.23,-63.6,57.2,76,90,4.7,CA,1592659759
Bubaque,11.28,-15.83,82.22,76,93,7.56,GW,1592659759
Gemeente Wageningen,51.97,5.67,70.0,52,90,6.93,NL,1592659760
Tual,-5.67,132.75,80.62,80,73,21.61,ID,1592659611
Sitka,57.05,-135.33,51.8,87,90,12.75,US,1592659760
Grenville,12.12,-61.62,86.0,79,40,23.04,GD,1592659760
Gillette,44.29,-105.5,55.4,76,1,5.82,US,1592659760
Aloleng,16.13,119.78,84.36,65,100,0.07,PH,1592659760
Chimbarongo,-34.7,-71.05,55.0,93,90,3.36,CL,1592659761
Longyearbyen,78.22,15.64,42.8,75,40,13.87,SJ,1592659611
Syriam,16.77,96.24,80.6,94,75,2.24,MM,1592659761
Waipawa,-41.41,175.52,53.01,96,100,11.41,NZ,1592659761
Pitsunda,43.16,40.34,75.2,73,75,6.71,GE,1592659761
Ivanovka,42.89,75.08,78.8,26,31,13.42,KG,1592659761
Nhulunbuy,-12.23,136.77,76.42,73,0,14.52,AU,1592659761
Vilhena,-12.74,-60.15,75.2,69,0,10.29,BR,1592659761
Kawalu,-7.38,108.21,72.12,92,71,1.45,ID,1592659761
Vitim,59.45,112.56,67.55,55,52,5.57,RU,1592659762
Kampot,10.62,104.18,82.4,83,40,8.05,KH,1592659762
Pinega,64.7,43.39,49.93,60,100,11.77,RU,1592659762
Nelson Bay,-32.72,152.15,57.2,76,90,6.93,AU,1592659762
Maltahöhe,-24.83,16.98,71.49,20,2,9.62,NA,1592659762
Alacranes,22.77,-81.57,78.8,88,20,3.36,CU,1592659762
Cuamba,-14.8,36.54,77.58,35,33,7.76,MZ,1592659763
Madīnat Sittah Uktūbar,29.82,31.05,91.4,27,20,13.87,EG,1592659763
Qaryat Sulūq,31.67,20.25,105.53,9,0,21.7,LY,1592659763
Topchikha,52.82,83.12,53.6,66,40,6.71,RU,1592659671
Oranjemund,-28.55,16.43,70.83,38,0,8.93,NA,1592659564
Amapá,1.0,-52.0,81.82,71,36,3.96,BR,1592659763
Yumen,40.28,97.2,85.32,14,100,18.03,CN,1592659763
Beausoleil,43.75,7.42,75.0,73,0,9.17,FR,1592659763
Ballina,-28.87,153.57,55.99,93,0,5.3,AU,1592659763
Beppu,33.27,131.49,66.2,82,96,3.36,JP,1592659764
Pontal do Paraná,-25.65,-48.51,60.8,82,0,2.24,BR,1592659764
Batī,11.18,40.02,91.42,17,100,12.68,ET,1592659764
Zhigansk,66.77,123.37,70.16,43,0,4.85,RU,1592659764
Guerrero Negro,27.98,-114.06,60.89,91,15,10.69,MX,1592659478
Lexington,37.99,-84.48,73.4,78,20,5.82,US,1592659739
Abū Zabad,12.35,29.25,99.3,15,0,3.87,SD,1592659764
Băneasa,44.05,26.06,87.01,45,20,8.05,RO,1592659765
Puerto Madryn,-42.77,-65.04,51.06,47,100,18.07,AR,1592659765
